Rank,Mountain peak,Mountain range,Elevation,Prominence,Isolation,Location
11,Mount Marvine[41][42][43][44],Fish Lake Plateau,"11,604 ft3537 m","1,870 ft570 m",6.75 mi10.86 km,38°40′06″N111°38′28″W﻿ / ﻿38.6682°N 111.6411°W﻿ /38.6682; -111.6411﻿ (Mount Marvine)
12,Mount Hilgard[45][46][47][m],Fish Lake Plateau,"11,538 ft3517 m","2,103 ft641 m",5.37 mi8.65 km,38°41′03″N111°32′38″W﻿ / ﻿38.6841°N 111.5438°W﻿ /38.6841; -111.5438﻿ (Mount Hilgard)
13,Mount Ellen Peak[48][49][50][n][o],Henry Mountains,"11,527 ft3513 m","5,862 ft1787 m",56 mi90.2 km,38°06′32″N110°48′49″W﻿ / ﻿38.1089°N 110.8136°W﻿ /38.1089; -110.8136﻿ (Mount Ellen Peak)
14,Twin Peaks[51][52][53][p],Wasatch Range,"11,494 ft3503 m","3,669 ft1118 m",11.12 mi17.89 km,40°33′06″N111°39′24″W﻿ / ﻿40.5518°N 111.6566°W﻿ /40.5518; -111.6566﻿ (Twin Peaks)
15,Mount Pennell[54][55][56][57],Henry Mountains,"11,413 ft3478.7 m","3,588 ft1094 m",8.02 mi12.9 km,37°57′23″N110°47′27″W﻿ / ﻿37.9564°N 110.7908°W﻿ /37.9564; -110.7908﻿ (Mount Pennell)
16,Abajo Peak[58][59][60][61][q],Abajo Mountains,"11,362 ft3463 m","4,555 ft1388 m",39.9 mi64.2 km,37°50′22″N109°27′45″W﻿ / ﻿37.8395°N 109.4624°W﻿ /37.8395; -109.4624﻿ (Abajo Peak)
17,Bluebell Knoll[62][63][64][r],Aquarius Plateau,"11,346 ft3458 m","2,930 ft893 m",32.6 mi52.5 km,38°09′34″N111°30′01″W﻿ / ﻿38.1594°N 111.5004°W﻿ /38.1594; -111.5004﻿ (Bluebell Knoll)
18,Circleville Mountain[65][66][67][68],Tushar Mountains,"11,336 ft3455.3 m","1,671 ft509 m",11.05 mi17.79 km,38°11′47″N112°24′07″W﻿ / ﻿38.1964°N 112.4020°W﻿ /38.1964; -112.4020﻿ (Circleville Mountain)
19,Brian Head[69][70][71][s][t],Markagunt Plateau,"11,312 ft3448 m","3,767 ft1148 m",42.5 mi68.5 km,37°40′52″N112°49′52″W﻿ / ﻿37.6812°N 112.8312°W﻿ /37.6812; -112.8312﻿ (Brian Head)
20,Thousand Lake Mountain[72][73][74][75],Fish Lake Plateau,"11,300 ft3444.3 m","2,366 ft721 m",17.81 mi28.7 km,38°25′02″N111°28′45″W﻿ / ﻿38.4171°N 111.4793°W﻿ /38.4171; -111.4793﻿ (Thousand Lake Mountain)
21,South Tent Mountain[76][77][78][79][u],Wasatch Plateau,"11,288 ft3440.5 m","3,385 ft1032 m",35.8 mi57.5 km,39°23′32″N111°21′27″W﻿ / ﻿39.3922°N 111.3576°W﻿ /39.3922; -111.3576﻿ (South Tent Mountain)
22,Monroe Peak[80][81][82][83][v],Sevier Plateau,"11,232 ft3423.6 m","4,117 ft1255 m",17.17 mi27.6 km,38°32′10″N112°04′24″W﻿ / ﻿38.5361°N 112.0734°W﻿ /38.5361; -112.0734﻿ (Monroe Peak)
23,Glenwood Mountain[84][85][86][87],Sevier Plateau,"11,220 ft3420 m","1,846 ft563 m",6.9 mi11.11 km,38°37′31″N112°00′57″W﻿ / ﻿38.6253°N 112.0157°W﻿ /38.6253; -112.0157﻿ (Glenwood Mountain)
24,Provo Peak[88][89][90][w],Wasatch Range,"11,072 ft3375 m","3,448 ft1051 m",10.54 mi16.97 km,40°14′39″N111°33′25″W﻿ / ﻿40.2443°N 111.5570°W﻿ /40.2443; -111.5570﻿ (Provo Peak)
25,Mount Dutton[91][92][93][94],Sevier Plateau,"11,047 ft3367.2 m","3,411 ft1040 m",15.76 mi25.4 km,38°01′14″N112°13′02″W﻿ / ﻿38.0206°N 112.2173°W﻿ /38.0206; -112.2173﻿ (Mount Dutton)
26,Deseret Peak[95][96][97][x],Stansbury Mountains,"11,035 ft3364 m","5,812 ft1772 m",46 mi74 km,40°27′34″N112°37′35″W﻿ / ﻿40.4595°N 112.6264°W﻿ /40.4595; -112.6264﻿ (Deseret Peak)
27,Bald Mountain[98][99][100][101],Wasatch Range,"10,920 ft3328.3 m","1,713 ft522 m",2.71 mi4.36 km,39°52′38″N111°45′29″W﻿ / ﻿39.8772°N 111.7581°W﻿ /39.8772; -111.7581﻿ (Bald Mountain)
28,Rocky Peak[102][103][104][y],Deep Creek Range,"10,753 ft3277 m","1,823 ft556 m",4.42 mi7.11 km,39°54′42″N113°53′51″W﻿ / ﻿39.9116°N 113.8974°W﻿ /39.9116; -113.8974﻿ (Rocky Peak)
29,Mount Hillers[105][106][107][z],Henry Mountains,"10,741 ft3274 m","3,357 ft1023 m",7 mi11.27 km,37°53′15″N110°41′49″W﻿ / ﻿37.8874°N 110.6970°W﻿ /37.8874; -110.6970﻿ (Mount Hillers)
30,Loafer Mountain[108][109][110][111],Wasatch Range,"10,689 ft3258 m","2,905 ft885 m",10.22 mi16.45 km,39°59′00″N111°37′25″W﻿ / ﻿39.9833°N 111.6237°W﻿ /39.9833; -111.6237﻿ (Loafer Mountain)
31,Flat Top Mountain[112][113][114][aa][ab],Oquirrh Mountains,"10,624 ft3238 m","5,383 ft1641 m",23.8 mi38.4 km,40°22′21″N112°11′20″W﻿ / ﻿40.3724°N 112.1888°W﻿ /40.3724; -112.1888﻿ (Flat Top Mountain)
32,Signal Peak[115][116][117][ac][ad],Pine Valley Mountains,"10,369 ft3161 m","4,505 ft1373 m",35 mi56.3 km,37°19′10″N113°29′32″W﻿ / ﻿37.3195°N 113.4922°W﻿ /37.3195; -113.4922﻿ (Signal Peak)
33,Navajo Mountain[118][119][120][121],Colorado Plateau,"10,348 ft3154.2 m","4,236 ft1291 m",58.6 mi94.3 km,37°02′03″N110°52′11″W﻿ / ﻿37.0343°N 110.8697°W﻿ /37.0343; -110.8697﻿ (Navajo Mountain)
34,Strawberry Peak[122][123][124][125][ae],Roan Cliffs,"10,341 ft3152 m","2,338 ft713 m",19.46 mi31.3 km,40°02′49″N110°59′05″W﻿ / ﻿40.0470°N 110.9847°W﻿ /40.0470; -110.9847﻿ (Strawberry Peak)
35,Mine Camp Peak[126][127][128][af][ag],Pavant Range,"10,227 ft3117 m","3,001 ft915 m",20.1 mi32.3 km,38°52′25″N112°15′12″W﻿ / ﻿38.8737°N 112.2534°W﻿ /38.8737; -112.2534﻿ (Mine Camp Peak)
36,Spanish Fork Peak[129][130][131][132],Wasatch Range,"10,196 ft3107.6 m","2,972 ft906 m",8.83 mi14.21 km,40°05′16″N111°31′40″W﻿ / ﻿40.0879°N 111.5277°W﻿ /40.0879; -111.5277﻿ (Spanish Fork Peak)
37,Bruin Point[133][134][135],Roan Cliffs,"10,187 ft3105 m","2,724 ft830 m",42.9 mi69.1 km,39°38′39″N110°20′54″W﻿ / ﻿39.6442°N 110.3482°W﻿ /39.6442; -110.3482﻿ (Bruin Point)
38,Salt Benchmark[136][137][138][ah],San Pitch Mountains,"10,001 ft3048.4 m","3,697 ft1127 m",10.13 mi16.3 km,39°39′54″N111°44′36″W﻿ / ﻿39.6649°N 111.7432°W﻿ /39.6649; -111.7432﻿ (Salt Benchmark)
39,Shay Mountain[139][140][141][ai],Abajo Mountains,"9,993 ft3046 m","1,649 ft503 m",6.19 mi9.96 km,37°56′08″N109°32′56″W﻿ / ﻿37.9355°N 109.5489°W﻿ /37.9355; -109.5489﻿ (Shay Mountain)
40,Naomi Peak[142][143][144][145][aj],Wasatch Range,"9,984 ft3043 m","3,169 ft966 m",61.5 mi98.9 km,41°54′41″N111°40′31″W﻿ / ﻿41.9114°N 111.6754°W﻿ /41.9114; -111.6754﻿ (Naomi Peak)
41,Bull Mountain[146][ak][al],Raft River Mountains,"9,938 ft3029 m","3,754 ft1144 m",24.3 mi39.2 km,41°54′36″N113°21′57″W﻿ / ﻿41.9100°N 113.3659°W﻿ /41.9100; -113.3659﻿ (Bull Mountain)
42,Raft River Peak[147][148],Raft River Mountains,"9,931 ft3027 m","3,740 ft1140 m",23.9 mi38.5 km,41°54′17″N113°23′20″W﻿ / ﻿41.9048°N 113.3888°W﻿ /41.9048; -113.3888﻿ (Raft River Peak)
43,Dry Mountain[149][150][151][am],Wasatch Range,"9,869 ft3008 m","1,845 ft562 m",4.59 mi7.39 km,39°56′26″N111°43′54″W﻿ / ﻿39.9406°N 111.7316°W﻿ /39.9406; -111.7316﻿ (Dry Mountain)
44,Indian Peak[152][153][154][an][ao],Indian Peak Range,"9,795 ft2985 m","3,660 ft1116 m",39.6 mi63.7 km,38°16′01″N113°52′31″W﻿ / ﻿38.2670°N 113.8753°W﻿ /38.2670; -113.8753﻿ (Indian Peak)
45,Willard Peak[155][156][157][158][ap],Wasatch Range,"9,771 ft2978.1 m","3,263 ft995 m",39.4 mi63.5 km,41°22′58″N111°58′29″W﻿ / ﻿41.3828°N 111.9746°W﻿ /41.3828; -111.9746﻿ (Willard Peak)
46,Logan Peak[159][160][161][162],Bear River Mountains,"9,719 ft2962.2 m","2,995 ft913 m",13.83 mi22.3 km,41°42′49″N111°43′04″W﻿ / ﻿41.7135°N 111.7177°W﻿ /41.7135; -111.7177﻿ (Logan Peak)
47,Fool Creek Peak[163][164][165][166][aq],Canyon Mountains,"9,717 ft2961.7 m","3,732 ft1138 m",23.1 mi37.3 km,39°23′33″N112°12′26″W﻿ / ﻿39.3926°N 112.2072°W﻿ /39.3926; -112.2072﻿ (Fool Creek Peak)
48,Thurston Peak[167][168][169][170],Wasatch Range,"9,710 ft2959.68 m","2,697 ft822 m",20.2 mi32.6 km,41°04′55″N111°51′06″W﻿ / ﻿41.0820°N 111.8516°W﻿ /41.0820; -111.8516﻿ (Thurston Peak)
49,Swasey Peak[171][172][173][174][ar][as],House Range,"9,675 ft2949 m","4,529 ft1380 m",40.7 mi65.5 km,39°23′18″N113°18′59″W﻿ / ﻿39.3882°N 113.3164°W﻿ /39.3882; -113.3164﻿ (Swasey Peak)
50,Frisco Peak[175][176][177][178][at],San Francisco Mountains,"9,663 ft2945.25 m","4,040 ft1231 m",36.3 mi58.4 km,38°31′13″N113°17′15″W﻿ / ﻿38.5204°N 113.2876°W﻿ /38.5204; -113.2876﻿ (Frisco Peak)
